,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
5710,"[12, 18, 36, 10752]",Napoleon,/mjXnciYFw409euWd0707SS2ri4A.jpg,69715,1.217371,"war,history,napoleon bonaparte",12,6.6,Yves Simoneau,3403.0,13,19.0,15.0,2002,10,0,0,0,1,1,0,1
688,"[12, 18, 36, 10752]",Lawrence of Arabia,/AixWVPdfcHZtBtRGUKNXGDn4TXM.jpg,947,2.677467,"cairo,arabian,world war i,horse,jerusalem,british army,british empire,damascus,camel,war,desert,arab,ottoman empire",709,7.8,David Lean,204763.0,PG,8.0,3.0,1962,12,0,0,0,1,1,0,1
3743,"[28, 18, 36, 10752]",Admiral,/dwPvYX8iTSNP5ODnj5etdTblKIm.jpg,13506,1.446741,"st. petersburg russia,film history",33,6.8,Andrey Kravchuk,6307.0,15,3.0,2.0,2008,6,0,0,0,1,1,0,1
2154,"[28, 18, 36, 10752]",Battle of Britain,/jp61Jw5ixudcnCMb7rm47eTx2g1.jpg,11463,1.757298,"world war ii,nazis,winston churchill,aviation,royal air force,air battle,luftwaffe",65,6.3,Guy Hamilton,16799.0,G,2.0,21.0,1969,9,0,0,0,1,1,0,1
4226,"[36, 28, 10749, 18]",Mandingo,/jkzhLGzZqYpRAxzUeWGWqh6HDAu.jpg,38027,1.354325,"slavery,interracial relationship,bare knuckle fighting,slave owner",16,5.5,Richard Fleischer,2673.0,R,3.0,1.0,1975,6,1,0,0,1,1,0,1
5004,"[36, 18]",Goodbye Bafana,/bGWqSXOgzuVdMdbPz59nrARPWJe.jpg,1874,1.278692,"jail guard,prison cell,south africa,apartheid,nelson mandela,escape,xenophobia",29,6.9,Bille August,10501.0,PG-12,3.0,3.0,2007,2,0,0,0,0,1,0,1
2278,"[10752, 35, 18]",Catch-22,/jhq5xbJh2uvUQaBoQEIfsB2iNg2.jpg,10364,1.727936,"world war ii,island,bomber,pianosa,american",56,6.6,Mike Nichols,17929.0,R,8.0,1.0,1970,6,0,0,1,0,1,0,1
5299,"[53, 18, 28, 80, 10752]",Miracle at St. Anna,/lQ57c15G9TsSL6t5SUtb97zUW4s.jpg,12412,1.255287,"black people,world war ii,toscana,village,soldier,partisan",73,6.3,Spike Lee,16012.0,15,24.0,12.0,2008,9,0,0,0,1,1,0,1
4972,"[18, 10752]",Before the Rain,/aIll5MvOZmUCmiwuGWMlaHRj2gj.jpg,19155,1.281295,"monk,mountains,restaurant,war photographer,christian,fashion photographer,girl,violence,albanian,macedonia",33,7.3,Milcho Manchevski,11698.0,15,2.0,2.0,1994,6,0,0,0,0,1,0,1
1691,"[18, 36, 10749]",Anna and the King,/518WmPyfc9YcnFiehqCiyGgbhmt.jpg,1439,1.885928,"civil war,father son relationship,east india trading company,traitor,death penalty,thailand,palace,burma,daughter,royalty,teacher,battle,denunciation",153,6.4,Andy Tennant,31973.0,12,10.0,13.0,1999,12,1,0,0,0,1,0,1
1145,"[12, 18, 28, 36]",The Mission,/vwCrxKBQCajZ3g67c28cXoSN91z.jpg,11416,2.092947,"christianity,mission,colonisation,south america,spanish,18th century,indigenous peoples,assimilation,jesuit priest",215,7.1,Roland Joffé,46338.0,PG,6.0,7.0,1986,9,0,0,0,1,1,0,1
6020,"[18, 36]",The Devils,/7EWcEBzGYJusF01Jvw2C1EG6GG4.jpg,31767,1.262349,"christianity,inquisition,hysteria,biography,controversy,priest,torture,historical,banned film,catholic church,blasphemy,king louis xiii,convent,nuns",69,7.2,Ken Russell,9339.0,X,3.0,1.0,1971,7,0,0,0,0,1,0,1
4344,"[18, 36, 10752]",Max Manus: Man of War,/phNtKB0XE6ZDa01tO4j6koNnXEm.jpg,13752,1.339579,"bomb,resistance,norway,world war ii,nazis,trauma,norwegian,saboteur,idealism,escape,nazi germany,train,terrorism",68,7.0,Joachim Rønning,22880.0,15,7.0,8.0,2008,12,0,0,0,0,1,0,1
3245,"[36, 18, 10752]",Testament of Youth,/bm4LR8WLYg1CKEjpFcDkIL0DBjS.jpg,284689,1.5217,"world war i,war,based on autobiography",195,7.1,James Kent,17676.0,12A,2.0,5.0,2014,10,0,0,0,0,1,0,1
5212,"[10752, 18, 10749]",Dogfight,/16zfixhmOSFPpWppJI21FcfSW9.jpg,14667,1.261386,"vietnam war,love,woman director",21,6.4,Nancy Savoca,6744.0,15,5.0,2.0,1991,9,1,0,0,0,1,0,1
1945,"[36, 18]",The Iron Lady,/e67tal4u66eFz8yGnJGTO5FYRxY.jpg,71688,1.81621,"capitalism,prime minister,argentina,margaret thatcher,british overseas territory,war propaganda,british politics,british prime minister,female politician,falklands war,political leader,female prime minister,right wing,falklands,woman director,1980s",434,6.2,Phyllida Lloyd,86606.0,12A,4.0,6.0,2011,12,0,0,0,0,1,0,1
4090,"[18, 12, 36]",A Passage to India,/rsgf8xM6O2UhAig6SbdXNt8xPLI.jpg,15927,1.375151,"doctor,india,english,magistrate,1920s,mosque",52,6.9,David Lean,13699.0,PG,1.0,1.0,1984,12,0,0,0,1,1,0,1
247,"[53, 18, 36]",Zero Dark Thirty,/yg6IDNucLAEj7E5loTyTnUW2pgb.jpg,97630,3.283781,"assassination,cia,hotel,terrorist,prisoner,car dealer,mossad,van,iraq,pakistan,osama bin laden,man hunt,navy seal,f word,gunfight,raid,violence,text message,monkey,dog,special forces,tied up,military,area 51,female lead,terrorist group,torturing,woman director,al qaeda,prison camp,water torture,suicide bombing,ex special forces,post 9/11,helicopter crash,islamabad,2010s",1467,6.6,Kathryn Bigelow,225277.0,15,31.0,23.0,2012,12,0,0,0,0,1,0,1
6252,"[28, 12, 18, 10752]",Young Winston,/fAcVoMa8uP1oNH5cOIzX8YnhsFX.jpg,66775,1.238308,"parliament,winston churchill,election,turn of the century",11,7.1,Richard Attenborough,1541.0,PG,5.0,3.0,1972,7,0,0,0,1,1,0,1
5252,"[12, 18, 10752, 36, 28]",Khartoum,/r9QOMW2NxMJ9s6KGF3LQVVX86Ob.jpg,29710,1.258267,"islam,siege,sudan,epic,victorian england",15,5.5,Basil Dearden,5277.0,Approved,6.0,2.0,1966,6,0,0,0,1,1,0,1
5448,"[28, 18, 36, 10752]",Outside the Law,/n2P3mbuXGIZ1M3PeIGq6rYQuxuk.jpg,47904,1.240306,"police brutality,pimp,uniform,strangle,revenge,blood bath",16,6.7,Rachid Bouchareb,3071.0,15,30.0,3.0,2010,9,0,0,0,1,1,0,1
2310,"[18, 36, 10749]",Kama Sutra - A Tale of Love,/4rsoEH2nloFdwfWv6FTRh8E0Kcg.jpg,28005,1.719838,"poetry,eroticism,woman director",26,5.7,Mira Nair,8588.0,R,3.0,4.0,1996,9,1,0,0,0,1,0,1
5174,"[36, 18, 53]",The Hindenburg,/3HQyhJFs5171W2gDtY3Rdx0KPjd.jpg,17599,1.263894,"suspense,airship,disaster,blimp,dirigible",26,6.1,Robert Wise,3977.0,PG,31.0,5.0,1975,12,0,0,0,0,1,0,1
5271,"[12, 18, 10749, 10752]",Map of the Human Heart,/fIL1cmonX3eoAISdpZXe574R0nB.jpg,36709,1.257347,"world war ii,inuit,interracial romance",11,6.6,Vincent Ward,2730.0,15,6.0,8.0,1993,4,1,0,0,1,1,0,1
2249,"[36, 28, 18, 12, 10752]",Tora! Tora! Tora!,/njNKZEgVVTk7Q0Fir99fuvEMCf7.jpg,11165,1.735117,"japan,world war ii,pearl harbor,soldier,imperial japan",127,6.9,Richard Fleischer,26094.0,G,16.0,5.0,1970,1,0,0,0,1,1,0,1
1457,"[18, 10749, 10752, 37]",Legends of the Fall,/uh0sJcx3SLtclJSuKAXl6Tt6AV0.jpg,4476,1.968942,"brother brother relationship,montana,based on novel,world war i,journey round the world",499,7.1,Edward Zwick,118030.0,15,20.0,5.0,1994,12,1,0,0,0,1,0,1
3123,"[35, 36, 27]",Cannibal! The Musical,/q5ZuudHZMCJNvJPsfaUfgS1NgOu.jpg,13063,1.543077,musical,40,6.7,Trey Parker,10421.0,18,2.0,3.0,1993,10,0,0,1,0,1,0,1
838,"[28, 18, 36, 53]",Free State of Jones,/sxutq7sXcaMy8b4OguaWZwWrchM.jpg,316152,2.540823,"slavery,american civil war",309,6.6,Gary Ross,28492.0,15,98.0,13.0,2016,6,0,0,0,1,1,0,1
5081,"[28, 36, 10752]",Red Scorpion,/mIvvWyk8iXOB7gsUcPCOQSVTuR3.jpg,12663,1.271114,"traitor,cold war,russian,mission of murder,war,uprising,revenge,agent",42,4.9,Joseph Zito,6710.0,18,17.0,3.0,1988,12,0,0,0,1,1,0,0
3107,"[18, 10752, 10749]",Guernica,/sZ5Cerk3tDoCiuPGtpbCB3f3kc6.jpg,363841,1.545736,"civil war,spain,journalist,war,wartime romance,1930s,based on historical events",32,5.4,Koldo Serra,1278.0,15,4.0,4.0,2016,9,1,0,0,0,1,0,1
176,"[12, 18, 36]",The Lost City of Z,/ik3ebv7J18fs6cHkmu91oxz7EGt.jpg,314095,3.467659,"based on novel,biography,explorer,journey",49,5.8,James Gray,2283.0,15,9.0,11.0,2017,3,0,0,0,1,1,0,1
4285,"[10752, 18, 36, 10749]",The Birth of a Nation,/zYtgDRSOQeZmGbHkXff5CcEg05g.jpg,618,1.346316,"ku klux klan,southern u.s.,patriotism,army",81,6.3,D.W. Griffith,17964.0,15,3.0,2.0,1915,2,1,0,0,0,1,0,1
4935,"[28, 18, 10752]",Attack,/cQuo7EfeNR5kGWEl7UokTcPt0pC.jpg,32087,1.283446,"u.s. army,national guard,u.s. military,moral dilemma",21,6.9,Robert Aldrich,3701.0,Approved,2.0,1.0,1956,9,0,0,0,1,1,0,1
3818,"[18, 36, 10752]",John Rabe,/z8CZ1wHEfFlqDmJeO1vZB72OEAE.jpg,5937,1.435549,"japan,china,biography,ns-zeit,life-saver,slaughter,wounded,soldier",25,7.2,Florian Gallenberger,5301.0,18,8.0,10.0,2009,4,0,0,0,0,1,0,1
4921,"[18, 36, 27]",The Countess,/eNrvOubh1Bvwzq1k5fKPYNIt6ts.jpg,8316,1.284366,"hungary,virgin,beauty,dracula,aging,biography,slovakia,baroness,countess,suspense,youth,witchcraft,historically inaccurate,revisionist history,vanity,noblewoman,bloodbath,woman director",33,5.4,Julie Delpy,6551.0,Not Rated,3.0,6.0,2009,2,0,0,0,0,1,0,1
5242,"[18, 36]",Sunshine,/6CaqAGL7TJSFIF5lBTQZ8cgvMb5.jpg,17771,1.258745,"holocaust,jewish life,russian front,austria-hungary",21,5.8,István Szabó,11473.0,15,2.0,5.0,1999,9,0,0,0,0,1,0,1
2739,"[18, 36]",Miracle,/c9b4efQsCvTAdJAnCMdKx5eoUCc.jpg,14292,1.620582,"olympic games,sport,hockey,milwaukee wisconsin,st. paul minnesota,gas rationing,lake placid new york,aftercreditsstinger,duringcreditsstinger",128,7.0,Gavin O'Connor,38158.0,PG,5.0,4.0,2004,2,0,0,0,0,1,0,1
3000,"[28, 12, 10752]",Missing in Action 2: The Beginning,/fXCXuj3zaigyGTo8oXP82M5ykf9.jpg,12764,1.568763,"prisoners of war,liberation,vietnam war,vietcong,death of a friend,revenge,escape,shootout,torture",52,5.1,Lance Hool,5982.0,Not Rated,9.0,2.0,1985,3,0,0,0,1,1,0,0
3910,"[10752, 28, 12, 18, 36, 10749]",Attila,/gbmtmnAQrC5B3ARmTWN54UCkpiK.jpg,18976,1.394994,"general,roman,army,battlefield,blood,king,battle,barbarian,violence,death,sword and sandal,hun,conqueror",52,6.4,Dick Lowry,8800.0,15,30.0,15.0,2001,1,1,0,0,1,1,0,1
977,"[18, 36]",The Railway Man,/3iU9KLIhvc3pdl1SkeD0gv4BO0f.jpg,127560,2.161909,"post traumatic stress  disorder,japanese,world war ii,victim,autobiography,based on true story,history,revenge,redemption,torture",234,6.7,Jonathan Teplitzky,30004.0,15,28.0,9.0,2013,12,0,0,0,0,1,0,1
5202,"[53, 12, 36, 18]",Gray Lady Down,/afSSqIIfyqil4ZQSn6eTFy46FNl.jpg,31948,1.26207,"submarine,drowning,based on novel,rescue,disaster,underwater,disaster film,collision",19,6.7,David Greene,2079.0,PG,5.0,2.0,1978,3,0,0,0,1,1,0,1
3491,"[18, 36, 10752]",All Quiet on the Western Front,/oFVbYL3EL1N2uJWjFihSJTiC6pP.jpg,10912,1.481804,"germany,france,world war i,westfront,soldier,classmate",22,6.3,Delbert Mann,6084.0,Not Rated,2.0,1.0,1979,11,0,0,0,0,1,0,1
3353,"[18, 36, 53]",A Field in England,/rMe6ofbSzuhaxMebadufN1WbQOI.jpg,179111,1.506762,"civil war,madness,ghost",60,6.4,Ben Wheatley,7674.0,15,1.0,9.0,2013,7,0,0,0,0,1,0,1
3593,"[28, 80, 18, 36]",Dead Presidents,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,11443,1.465898,"money,loss of virginity,hiding in a dumpster,mercy killing,armored truck,crushed by a car",58,6.6,Albert Hughes,15952.0,18,15.0,5.0,1995,10,0,0,0,1,1,0,1
2192,"[18, 36, 10749]",The Young Victoria,/1U8Ubm0SrtvxJEdsQleSKwZhjG9.jpg,18320,1.747176,"royal family,biography,royalty,period drama,queen victoria,prince albert,19th century,british monarchy",262,7.0,Jean-Marc Vallée,47690.0,PG,5.0,4.0,2009,3,1,0,0,0,1,0,1
3342,"[10752, 12, 18, 10749]",The Horseman on the Roof,/uT9rty5z1lyI7C0ScwS7XPX0pZX.jpg,11876,1.508863,"italian,new love,provence,horse,exile",22,6.5,Jean-Paul Rappeneau,4988.0,15,7.0,2.0,1995,9,1,0,0,1,1,0,1
2707,"[18, 36, 10752]",Casualties of War,/vwIkjKYMrlewvxjLICR4v4cfGPN.jpg,10142,1.628549,"rape,menace,vietnam war,vietcong,court,jungle,soldier",163,6.8,Brian De Palma,34574.0,R,9.0,7.0,1989,8,0,0,0,0,1,0,1
1497,"[28, 18, 36, 10752]",The Longest Day,/664VZXg2UTNif3qooghJqJni351.jpg,9289,1.956363,"world war ii,normandy,allied,widerstand,steel helmet,soldier",179,7.2,Ken Annakin,44684.0,G,9.0,7.0,1962,9,0,0,0,1,1,0,1
5635,"[18, 36]",Age of Uprising: The Legend of Michael Kohlhaas,/max3zwNzfDJGBndxdSKnp1rmCtX.jpg,186971,1.223007,"sword,historian,siglo xvi",50,6.1,Arnaud des Pallières,6198.0,15,13.0,1.0,2013,8,0,0,0,0,1,0,1
2619,"[28, 53, 10752, 36]",Female Agents,/lm6h5DhgzGApQj8c78fsrvOByf8.jpg,8266,1.645207,"london england,resistance,world war ii,normandy,loss of husband,d-day,commando",45,6.8,Jean-Paul Salomé,6038.0,14,12.0,5.0,2008,2,0,0,0,1,1,0,1
3018,"[10752, 80, 18, 9648, 10749, 53]",The Good German,/3LjHC2CWDkzoiPehf3GViujws0.jpg,182,1.566141,"berlin,corruption,nazi background,love of one's life,chauffeur,black market,missile,postwar period,war correspondent,allied,truth,murder,humanity",74,5.8,Steven Soderbergh,21955.0,15,28.0,11.0,2006,12,1,0,0,0,1,0,1
3600,"[36, 18]",Bobby,/a38CTs2mJ2uDHHH6mUJmuGH8RVI.jpg,10741,1.463723,"hotel,senator,kitchen,marriage crisis,politics,xenophobia",101,6.3,Emilio Estevez,38749.0,15,6.0,9.0,2006,9,0,0,0,0,1,0,1
2150,"[18, 36]",Jobs,/ioI5pOOr5yWZAAZPEts5oSQwUrT.jpg,115782,1.758508,"biography,computer,based on true story,apple computer,steve jobs,entrepreneur",1013,6.0,Joshua Michael Stern,81109.0,15,2.0,1.0,2013,8,0,0,0,0,1,0,1
5996,"[18, 80, 36]",The Krays,/1FPqVdLNjz2lc25r76MoRLXXJcA.jpg,21344,1.264632,"gangster,twins",29,5.5,Peter Medak,6219.0,R,15.0,2.0,1990,4,0,0,0,0,1,0,1
2629,"[36, 18]",Farinelli,/mF1PyZIJ2l3B3d2S41LrqjPL5Sc.jpg,10954,1.642957,"brother brother relationship,opera,eunuch,biography,dresden,opera singer",13,6.0,Gérard Corbiau,5306.0,15,1.0,1.0,1994,12,0,0,0,0,1,0,1
4357,"[10752, 18, 36, 28, 10749]",Henry V,/9k34jK0UlAqcbPCgY3Ny7CMwXZL.jpg,10705,1.338448,"shakespeare,hero,kingdom,war,based on play,gritty,medieval,king of england",53,7.2,Kenneth Branagh,24206.0,PG-13,5.0,7.0,1989,10,1,0,0,1,1,0,1
4713,"[10752, 18, 10749]",The Year of Living Dangerously,/3fBuFmNLTDKuL3QOlgeIvLdekJn.jpg,11541,1.302222,"civil war,embassy,indonesia,falling in love",67,6.8,Peter Weir,16125.0,PG,1.0,1.0,1982,12,1,0,0,0,1,0,1
3667,"[18, 36, 10749]",The Girl King,/eb5ZOCpGj7PbTnJweuiqHixPPtD.jpg,329829,1.454812,"gay,sweden,queen,banquet,based on true story,lesbian sex,lesbian interest,17th century",25,6.3,Mika Kaurismäki,1867.0,15,3.0,4.0,2015,12,1,0,0,0,1,0,1
772,"[18, 10752]",Lincoln,/gkkiDu9srCCbCMxGKwNwKCxK7KF.jpg,72976,2.60288,"u.s. president,speech,death of a child,battlefield,title spoken by character,family conflict,mourning,cultural conflict,based on true events,battle of gettysburg,team conflict,mary todd lincoln,secession,presidential cabinet,reference to ulysses s. grant,gettysburg address,conflagration,ethical dilemma,emancipation,abraham lincoln",1215,6.7,Steven Spielberg,206263.0,12A,35.0,16.0,2012,11,0,0,0,0,1,0,1
4356,"[18, 10752]",Generation War,/lQKe2rx4tx5rxLbQhFb2fQAXRBw.jpg,178446,1.338454,"world war ii,mini-series",55,8.2,Philipp Kadelbach,16582.0,15,4.0,5.0,2013,3,0,0,0,0,1,0,1
6013,"[18, 10752]",Invincible,/gbKWwGk1NFX4CrOb5xsk35xcNlX.jpg,68569,1.262782,"rabbi,anti semitism,jewish,poland,strong man",9,6.7,Werner Herzog,3649.0,12,18.0,8.0,2001,1,0,0,0,0,1,0,1
1394,"[37, 12, 18, 28, 35, 10752]",The General,/hjK9y09NjHOqAaz6PfOmzxU1qCT.jpg,961,1.99578,"spy,southern u.s.,general,fiancé,cannon,bridge,engineer,army,attack,train,girl,behind enemy lines",185,7.9,Clyde Bruckman,57321.0,TV-G,2.0,1.0,1926,12,0,0,1,1,1,0,1
4862,"[18, 36]",Amen.,/3uaiPsJgagOVWzRsDlH3TKdVHrw.jpg,9045,1.288242,"vatican,pope,concentration camp,holocaust,schutzstaffel,nazis,nazi germany,doctor,conscience,catholicism,euthanasia",60,7.0,Costa-Gavras,11533.0,PG,8.0,7.0,2002,2,0,0,0,0,1,0,1
2435,"[18, 10752]",Redacted,/59SCyrGk5KtTtqZg16QmHx7BInt.jpg,11600,1.688185,"iraq,iraq war",29,6.0,Brian De Palma,9086.0,15,1.0,2.0,2007,1,0,0,0,0,1,0,1
1307,"[12, 18, 36, 53, 10752]",The Great Escape,/qhy4HgUqhEbwQ1ekKTv7yEB3b0e.jpg,5925,2.022226,"based on novel,optimism,switzerland,baseball,famous score,prisoner,shower,world war ii,prisoners of war,claustrophobia,nazis,machinegun,attempt to escape,uniform,freedom,based on true story,prison guard,escape,swastika,barbed wire,solitary confinement,motorcycle,motorcycle jump,alps",580,7.8,John Sturges,175689.0,Approved,8.0,1.0,1963,6,0,0,0,1,1,0,1
2520,"[10752, 18, 53]",Son of Saul,/AcjoM9JielY0Yi42GnICNBntpND.jpg,336050,1.665665,"prisoner,auschwitz,rabbi,son,hungarian,auschwitz-birkenau,sonderkommando",220,7.1,László Nemes,29608.0,15,2.0,7.0,2015,6,0,0,0,0,1,0,1
3485,"[18, 10752]",Beasts of No Nation,/geb6DKAnaRf0PFRlqm8i02G6JBv.jpg,283587,1.482496,"africa,based on novel,child soldier",384,7.6,Cary Joji Fukunaga,49470.0,15,1.0,1.0,2015,9,0,0,0,0,1,0,1
5055,"[10752, 18, 53, 80, 28]",Who'll Stop the Rain,/AexCYBIfZnPonWBwKREoauPzXEm.jpg,31941,1.273824,"vietnam veteran,based on novel,heroin,vietnam,vietnam war,chase,drug smuggling,drug trade,machine gun",8,5.9,Karel Reisz,1908.0,R,3.0,2.0,1978,8,0,0,0,1,1,0,1
4841,"[18, 36, 10749]",The Pillars of the Earth,/7uZx4tJEpFBGGqsnlFk5HWZGyAL.jpg,367186,1.290015,"england,based on novel,kingdom,royalty,mini-series,12th century",31,7.9,Sergio Mimica-Gezzan,23449.0,18,24.0,14.0,2010,7,1,0,0,0,1,0,1
1091,"[28, 18, 36, 10752]",Zulu,/bVGSKojqxMrccXMtrJEGt6q9RSB.jpg,14433,2.116181,"africa,south africa,british army,british empire,mixed martial arts,violence,attempted rape,cult film,zulu,tribal warfare",114,7.3,Cy Endfield,30155.0,Unrated,6.0,2.0,1964,1,0,0,0,1,1,0,1
5538,"[36, 18]",Europa Europa,/1BufsXykWHINVvwQVROVqOwFBQ7.jpg,8996,1.231623,"russia,german,nazis,hitler youth,jewish,woman director,jewish boy",41,7.1,Agnieszka Holland,12433.0,15,2.0,1.0,1990,1,0,0,0,0,1,0,1
6131,"[10752, 35, 18]",Beautiful People,/8QHFKeRzZpN1CnPqAahlwGPnbLz.jpg,61416,1.252592,"england,refugee,independent film,bosnian war",8,5.9,Jasmin Dizdar,2233.0,15,1.0,1.0,1999,9,0,0,1,0,1,0,1
239,"[18, 36]",Dallas Buyers Club,/nxJFUxDRP9qQCiyD5sH24N5SCSu.jpg,152532,3.307696,"women,aids,biography,based on true story,hiv,drug,1980s",2254,7.8,Jean-Marc Vallée,350130.0,15,8.0,1.0,2013,9,0,0,0,0,1,0,1
2740,"[28, 12, 18, 36, 10749, 10752]",Flyboys,/ap7UcuDPhyaY165YppEZJdbU1sA.jpg,9664,1.620543,"world war i,biplane",224,6.2,Tony Bill,36580.0,12A,27.0,19.0,2006,9,1,0,0,1,1,0,1
1025,"[18, 36]",The Affair of the Necklace,/6gnmtKgzYPJXWIBwZJGIKDno5MK.jpg,19076,2.144382,"marie antoinette,revenge",18,5.5,Charles Shyer,4559.0,12,20.0,10.0,2001,11,0,0,0,0,1,0,1
3423,"[53, 28, 10752]",The Train,/xe5u9tT57K7kTtOnpeAZjDf1Q8D.jpg,3482,1.493377,"paris,france,world war ii,nazis,hijacking of train,artwork,train ride,painting,french resistance,train crash,nazi germany,art thief,art theft",58,7.1,John Frankenheimer,10755.0,Unrated,1.0,1.0,1964,9,0,0,0,1,1,0,1
6036,"[10752, 28, 18]",Forbidden Ground,/qy7RjS18AoS24hSiopUC2cSyXWr.jpg,215814,1.261085,german,25,6.0,Johan Earl,1434.0,15,5.0,3.0,2013,8,0,0,0,1,1,0,1
3278,"[28, 53, 10752]",Act of Valor,/hauipCFK2iybZqL1JqhdyakrZWO.jpg,75674,1.517025,"submarine,navy,scuba diving,heroism,navy seal,pistol,secret plot,military life,valor,terrorist plot,navy life,national security,pregnant wife,silver star,counter plot,duringcreditsstinger",371,6.3,Mike McCoy,59694.0,15,26.0,18.0,2012,2,0,0,0,1,1,0,1
5679,"[28, 12, 18, 36, 10752]",The Red Baron,/hG7aozh7UJ6EgO0XpQPZGiN9jLu.jpg,8349,1.219423,"flying,nurse,world war i,airplane",72,6.4,Nikolai Müllerschön,10057.0,12A,64.0,15.0,2008,3,0,0,0,1,1,0,1
1366,"[10749, 12, 28, 36]",Ironclad,/vgRPlYHiottQpDav3nfw9Q1zAJJ.jpg,38543,2.005054,"ambush,hero,fight,castle,battlefield,duel,king,order of the templars",185,6.1,Jonathan English,35396.0,15,35.0,21.0,2011,3,1,0,0,1,1,0,0
3924,"[28, 18, 10749, 10752]",Wings,/yyJRdHy8TKLecnXuNBWhJxzSIkY.jpg,28966,1.393976,"paris,world war i,friendship,battlefield,aerial combat,warfare,silent film,u.s. military,fighter pilots",48,7.0,William A. Wellman,8439.0,PG,14.0,2.0,1927,8,1,0,0,1,1,0,1
3247,"[28, 18, 36, 10752]",Midway,/2JF27vjTCCneksfgzTQgUanP79x.jpg,11422,1.521222,"japanese,world war ii,midway,soldier,american",56,6.3,Jack Smight,14126.0,PG,7.0,1.0,1976,6,0,0,0,1,1,0,1
