,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,month,decade,group5,group4,group7,group6,group1,group3,group2
16,"[10752, 28]",American Sniper,/svPHnYE7N5NAGO49dBmRhq0vDQ3.jpg,190859,3.964504,"sniper,biography,iraq,navy seal,u.s. soldier",3612,7.4,Clint Eastwood,350230.0,15,68.0,20.0,12,10,0,0,0,1,1,0,0
17,"[28, 878]",Dredd,/71fkYuMVMtdbREh9Mp3gTFmI8Bv.jpg,49049,3.96298,"usa,corruption,crime fighter,judge,metropolis,law,post-apocalyptic,dystopia,executive case,police,futuristic,based on comic book,gore,survival,gunfight,gangster,extreme violence,psychic,violence,criminal,justice,drug lord,based on graphic novel,dystopic future,dark humor,expert marksman,rookie,dredd",1673,6.6,Pete Travis,212447.0,18,75.0,12.0,9,10,0,0,0,1,0,0,0
18,"[28, 53, 12]",Mission: Impossible - Ghost Protocol,/s58mMsgIVOFfoXPtwPWJ3hDYpXf.jpg,56292,3.955884,"fight,sequel,mission,explosion,broken arm,imax,nuclear threat",3426,6.7,Brad Bird,380473.0,12,99.0,43.0,12,10,0,0,0,1,0,0,1
19,"[27, 28, 878]",Resident Evil,/fttmSgLEOdBNwQepW2lC6t0mbOm.jpg,1576,3.953311,"undercover,mutant,dystopia,conspiracy,zombie,based on video game",1618,6.4,Paul W.S. Anderson,210493.0,15,29.0,25.0,3,9,0,0,0,1,0,0,1
20,"[12, 14]",Seventh Son,/A3SBRfCSgKNcW2IkbaaOgugLwRt.jpg,68737,3.947667,"magic,chosen one,dark fantasy,witch hunter,evil witch,based on young adult book,sword and sorcery",772,5.1,Sergei Bodrov,59407.0,12,77.0,20.0,12,10,0,0,0,1,0,1,0
21,"[35, 10749]",Amélie,/f0uorE7K7ggHfr8r7pUTOHWkOlE.jpg,194,3.944543,"paris,love triangle,ghost train,sex-shop,shyness,montmartre,daughter,garden gnome,journey round the world,photography",2503,7.8,Jean-Pierre Jeunet,567177.0,15,8.0,15.0,4,9,1,0,1,0,0,0,0
22,"[12, 14, 18, 10749]",The Twilight Saga: Breaking Dawn - Part 2,/kJQPygYB8aNEevZZHRifyYrAdU9.jpg,50620,3.943535,"vampire,romance,villainess,super strength,male vampire,imprinting,cross breed,bloodsucker,grudge,vampire vs vampire,chief of police,dhampir,forks washington,wolf pack,misinformation,seeing the future,vamp,fang vamp",1933,6.1,Bill Condon,193264.0,12,68.0,32.0,11,10,1,0,0,1,0,1,1
23,"[28, 35]",Keeping Up with the Joneses,/ekg8qeNidEQ1ylHeahLtsTLPe2k.jpg,331313,3.939918,suburb,368,5.9,Greg Mottola,27824.0,12,33.0,5.0,10,10,0,0,1,1,0,0,0
24,"[10749, 35, 80, 14]",The Mask,/v8x8p441l1Bep8p82pAG6rduBoK.jpg,854,3.939043,"dual identity,bank,mockery,green,balloon,jail cell,loki",1714,6.6,Chuck Russell,278535.0,PG,43.0,7.0,7,8,1,0,1,0,0,1,1
25,"[27, 53, 878]",28 Days Later,/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg,170,3.936985,"london england,manchester city,submachine gun,gas station,survivor,daughter,zombie,virus",1384,7.0,Danny Boyle,311805.0,18,21.0,9.0,10,9,0,0,0,1,0,0,1
26,"[18, 80]",American Hustle,/mhB7C62lSMpGO2HYNaW6d7W3TVH.jpg,168672,3.935193,"con artist,scam,mobster,fbi agent",2282,6.8,David O. Russell,376537.0,15,17.0,8.0,12,10,0,0,0,0,0,0,1
27,"[12, 28, 878]",Star Wars: Episode II - Attack of the Clones,/2vcNFtrZXNwIcBgH5e2xXCmVR8t.jpg,1894,3.932176,"senate,investigation,army,death star,jedi,cult figure,wedding,violence,kendo,laser gun,space opera,spaceport,teenage rebellion,good becoming evil,alien race,mechanical hand,yoda",3117,6.4,George Lucas,494943.0,PG,31.0,46.0,5,9,0,0,0,1,0,0,0
28,"[18, 27, 53]",The Exorcist,/eYVZP9CibJg1fyZnZahfFIYqfPr.jpg,9552,3.926275,"exorcism,holy water,religion and supernatural,vomit,christian,possession,profanity,priest,ouija board,satan,paranormal phenomena,girl,demon,strong language,disturbed child,crisis of faith,sfx",1494,7.4,William Friedkin,296778.0,15,3.0,2.0,12,6,0,0,0,0,0,0,1
29,"[878, 28, 27]",Alien³,/vz1vBw17F0x42bhziHdYRJC9uCv.jpg,8077,3.919716,"prison,android,spacecraft,space marine,imprisonment,space colony,space travel,rottweiler,dystopia,sequel,alien,redemption,outer space,planet,shaved head,crash landing,impregnation,penal colony,furnace,suspended animation,xenomorph",1202,6.1,David Fincher,219818.0,15,8.0,40.0,5,8,0,0,0,1,0,0,1
30,[18],Apollo 13,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,568,3.919714,"moon,florida,nasa,spaceman,race against time,houston,based on true story,space,rescue,survival,disaster,explosion,astronaut,imax,saturn v rocket,courage,hypothermia,apollo program,cape kennedy,lunar mission,spacecraft accident",1266,7.2,Ron Howard,218988.0,PG,7.0,32.0,6,8,0,0,0,0,0,0,1
31,"[28, 12, 14]",Gods of Egypt,/uPqAW07bGoljf3cmT5gecdOvVol.jpg,205584,3.918709,"egypt,underworld,fight,mythology,nile,war,thief,rescue,desert,gods,egyptian mythology,egyptian,myth",949,5.2,Alex Proyas,71726.0,12,85.0,32.0,2,10,0,0,0,1,0,1,0
32,"[28, 80, 14, 878, 53]",Batman Returns,/ifzddUhnsTf1h6guBUKBlDwuS1t.jpg,364,3.906223,"holiday,corruption,double life,dc comics,crime fighter,hallucination,christmas tree,gotham city,vigilante,superhero,electrocution,violence,dark hero,fictional city,leather,taser,super villain,super powers,severed hand,kicked in the face,deformed,bird cage,evil circus,christmas holiday,stun gun",1231,6.6,Tim Burton,225707.0,15,70.0,69.0,6,8,0,0,0,1,0,1,1
33,"[12, 14]",The Golden Compass,/mOF2xK2xDgbpOCPgXreM4vfw9dC.jpg,2268,3.905962,"england,compass,experiment,lordship,uncle,polar bear,animal,orphan girl,based on young adult book",980,5.7,Chris Weitz,154355.0,PG,88.0,49.0,12,9,0,0,0,1,0,1,0
34,"[28, 12, 878]",Fantastic Four,/g23cs30dCMiG4ldaoVNP1ucjs6.jpg,166424,3.904762,"teleportation,transformation,telekinesis,portal,marvel comic,superhero,based on comic book,superhero team,critically bashed,fantastic four,troubled production,invisible woman,box office flop",1826,4.4,Josh Trank,120732.0,12,114.0,14.0,8,10,0,0,0,1,0,0,0
35,"[53, 80, 18]",Wild Card,/s5qUhHvFAZZ7Q4r5Dn3GdsfaPKI.jpg,265208,3.902578,"gambling,bodyguard,remake",564,5.4,Simon West,39589.0,15,39.0,7.0,1,10,0,0,0,0,0,0,1
36,"[14, 18, 10752]",Pan's Labyrinth,/t0TDsqbCTgSi0AL7k4baZrOYYhi.jpg,1417,3.895721,"spain,resistance,servant,anti hero,fairy,fairy tale,franco regime,army,princess,love,woods,king,hiding,labyrinth,mythological",2244,7.5,Guillermo del Toro,495145.0,15,20.0,21.0,5,9,0,0,0,0,1,1,1
37,"[14, 28]",Batman,/kBf3g9crrADGMc2AMAMlLBgSm2h.jpg,268,3.886124,"double life,dc comics,dual identity,chemical,crime fighter,fictional place,gotham city,superhero,super powers",1576,7.0,Tim Burton,281392.0,15,53.0,22.0,6,7,0,0,0,1,0,1,0
38,"[28, 12, 80]",Speed,/bDLiyoxdK8mZHaeYVOxMZj7WGkb.jpg,1637,3.87282,"bomb,airport,bus,bus ride,highway,bomb planting",1399,6.8,Jan de Bont,272114.0,15,58.0,31.0,6,8,0,0,0,1,0,0,1
39,"[878, 18]",Moon,/2tgl9q3ZaVQUfSsbftqhRxXCElB.jpg,17431,3.872672,"moon,artificial intelligence,clone,isolation,future,dystopia,space,cloning,moon base",1393,7.6,Duncan Jones,275015.0,15,3.0,3.0,6,9,0,0,0,1,0,0,1
40,"[18, 878]",Cloud Atlas,/8VNiyIp67ZxhpNgdrwACW0jgvP2.jpg,83542,3.871636,"clone,future,dystopia,ensemble cast,duringcreditsstinger,century,woman director,1930s",2487,6.6,Tom Tykwer,297010.0,15,82.0,23.0,10,10,0,0,0,1,0,0,1
41,"[878, 12, 28]",Star Wars: Episode III - Revenge of the Sith,/tgr5Pdy7ehZYBqBkN2K7Q02xgOb.jpg,1895,3.868557,"showdown,death star,vision,cult figure,hatred,dream sequence,expectant mother,space opera,chancel,childbirth,galactic war",3202,7.0,George Lucas,553203.0,12,28.0,33.0,5,9,0,0,0,1,0,0,0
42,"[35, 10402]",Pitch Perfect 2,/eqMkpgTFGSDySzPs5VlvVwhhjfL.jpg,254470,3.86593,"music,sequel,singer,male female relationship,audition,group of friends,duringcreditsstinger,singing competition,female musician,singing contest,woman director,acapella",1471,6.8,Elizabeth Banks,107221.0,12,12.0,2.0,5,10,1,0,1,0,0,0,0
43,"[28, 878, 53, 37]",Cowboys & Aliens,/tXEHvxU315Yu7bEaMMRcpDpW6RI.jpg,49849,3.85916,"robbery,sheriff,arizona,laser,outlaw,ufo,spaceship,alien,escape,gunfight,natives",1678,5.4,Jon Favreau,178605.0,12,96.0,120.0,7,10,0,0,0,1,0,0,1
44,"[28, 878, 12]",Pacific Rim,/sCJEwEShZvruTpQ2a4yiX3Q9EyZ.jpg,68726,3.854283,"dystopia,giant robot,giant monster,apocalypse,imax,duringcreditsstinger,3d stereoscopic",4082,6.7,Guillermo del Toro,398029.0,12,106.0,139.0,7,10,0,0,0,1,0,0,0
45,"[878, 14, 28, 80]",Batman Forever,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,414,3.851213,"riddle,dc comics,rose,gotham city,superhero,robin,broken neck,psychologist,violence,criminal,district attorney,millionaire,falling down stairs,tied up,tommy gun,beretta,knocked out,super powers,disfigurement,father figure,partners",1138,5.2,Joel Schumacher,198880.0,12,79.0,48.0,5,8,0,0,0,1,0,1,1
46,"[80, 53]",Ocean's Thirteen,/k7jNRNN9UuUc2VQg21YXYn3JGVY.jpg,298,3.847773,"casino,thief,revenge,heist,las vegas,pretending to be rich,labor strike",1642,6.5,Steven Soderbergh,267966.0,PG,42.0,18.0,6,9,0,0,0,0,0,0,1
47,"[80, 18, 36, 53]",The Untouchables,/qx4CDBhJDX5LQoVZ8UXPxQy5pt7.jpg,117,3.846202,"white suit,al capone,tough cop,treasury agent,untouchable,tax evasion,jury tampering,rule of law,rooftop chase,cutting face while shaving,1930s",1057,7.6,Brian De Palma,228266.0,R,24.0,6.0,6,7,0,0,0,0,1,0,1
48,"[18, 12, 37]",True Grit,/qc7vaF5fIeTllAykdP3wldlMyRh.jpg,44264,3.84172,"loss of father,father murder,texas ranger,alcoholism,betrayal",1356,7.1,Ethan Coen,253407.0,15,30.0,23.0,12,10,0,0,0,1,0,0,1
49,"[28, 53, 878, 12]",The Island,/erprD7GIkvZz2KM4Z35eyTJKZMI.jpg,1635,3.838272,"clone,transplantation,love of one's life,dystopia,genetics,freedom,escape,cloning,plague",1358,6.5,Michael Bay,271121.0,12,102.0,49.0,7,9,0,0,0,1,0,0,1
50,"[28, 35, 80]",21 Jump Street,/mH6xazzfGdszadd1Xy9JgdZYvn1.jpg,64688,3.833681,"male friendship,high school,parody,crude humor,based on tv series,undercover cop,buddy comedy,duringcreditsstinger",3385,6.7,Phil Lord,429106.0,15,88.0,12.0,3,10,0,0,1,1,0,0,1
51,"[18, 10749]",Pride & Prejudice,/lAb9l4kgc6QWnHamBzTnskt71A7.jpg,4348,3.82618,"bachelor,prejudice,suitor,georgian,pride,18th century,opposites attract",968,7.6,Joe Wright,203602.0,U,1.0,4.0,9,9,1,0,0,0,0,0,1
52,"[27, 12, 28]",Van Helsing,/s2OPT5CZsZBQYAIlO9Mv4AimHvV.jpg,7131,3.823501,"transylvania,vatican,vampire,dracula,bite,frankenstein,werewolf,multiple monsters,vamp,castles,mr. hyde",1201,5.9,Stephen Sommers,205683.0,12,122.0,71.0,5,9,0,0,0,1,0,0,1
53,"[53, 18, 9648]",Mulholland Drive,/fMC8JBWx2VjsJ53JopAcFjqmlYv.jpg,1018,3.816992,"schizophrenia,identity,amnesia,loss of sense of reality,suppressed past,trauma,key,bisexuality,hallucination,surreal,job interview,casting,suspense,independent film,lesbian,los angeles",1067,7.5,David Lynch,252424.0,15,16.0,5.0,5,9,0,0,0,0,0,0,1
54,"[12, 28, 53, 80, 9648]",The Fugitive,/3gzLGFBoJM1xlNk0Ulzp0cJ6uPp.jpg,5503,3.809424,"chicago,showdown,undercover,surgeon,death sentence,doomed man,lethal injection,chase,remake,betrayal,on the run,train crash,escape,fugitive,based on tv series,u.s. marshal,doctor,explosion,home invasion,disguise,one armed man,framed for murder,flashback,corrupt cop,manhunt,bus accident,storm drain",992,7.2,Andrew Davis,221673.0,15,24.0,10.0,8,8,0,0,0,1,0,0,1
55,"[28, 35, 80]",Free Fire,/zSVRoZMce3skt6qR6JSD0IXQ8af.jpg,334521,3.805903,"boston,gang,shootout,warehouse",26,5.8,Ben Wheatley,3023.0,15,18.0,21.0,3,10,0,0,1,1,0,0,1
56,"[14, 27, 28]",Hansel & Gretel: Witch Hunters,/3bQHHXuzZDu2Ju3VFjIM72E9TSw.jpg,60304,3.803624,"witch,black magic,steampunk,good vs evil,troll,extreme violence,violence,witchcraft,evil,witch hunt,witch hunter,evil witch,duringcreditsstinger,hansel and gretel,guns,3d",2832,5.7,Tommy Wirkola,167006.0,15,62.0,49.0,1,10,0,0,0,1,0,1,1
57,"[28, 12, 10752]",300,/bYR8O1H1ZlME7Dm9ysfTYZnRDpw.jpg,1271,3.800893,"evisceration,javelin,shield,army,fall from height,ancient world,s.a.t.,minions",4015,7.0,Zack Snyder,633456.0,15,104.0,56.0,12,9,0,0,0,1,1,0,0
58,"[878, 53]",Sunshine,/upgi8oTlMthM9sweAyBoXqr8doZ.jpg,1272,3.797396,"saving the world,bomb,sun,space marine,sunlight,solar energy,space mission,earth,expiration",947,6.9,Danny Boyle,198431.0,15,11.0,35.0,4,9,0,0,0,1,0,0,1
59,"[18, 10749]",A Beautiful Mind,/4SFqHDZ1NvWdysucWbgnYlobdxC.jpg,453,3.796876,"individual,schizophrenia,massachusetts,love of one's life,intelligence,mathematician,market economy,economic theory,princeton university,nobel prize,mathematical theorem,m.i.t.,mathematics,delusion",2292,7.6,Ron Howard,655846.0,12,18.0,7.0,12,9,1,0,0,0,0,0,1
60,"[18, 878, 12]",A.I. Artificial Intelligence,/sbQofoGqJ6AqayGKorNgXjIYEZO.jpg,644,3.793312,"ocean,artificial intelligence,prophecy,android,loss of mother,ice,prisoner,extraterrestrial technology,new love,ice age,pinocchio,prosecution,cuddle bear,gigolo,hologram,dystopia,alien,cowardliness,destiny,doppelganger",1511,6.7,Steven Spielberg,248941.0,12,37.0,146.0,6,9,0,0,0,1,0,0,1
61,"[53, 28, 12, 878]",Battleship,/8R80QyDq7MCuBD8zMsNlminyXxy.jpg,44833,3.792955,"fight,u.s. navy,mind reading,hong kong,soccer,scientist,fictional war,naval,armada,battleship,naval combat,jds myoko,lost communication,taser,buoy,communications expert,joint chiefs of staff,crash landing,jet fighter pilot,navy lieutenant,permission to marry,uss john paul jones,based on board game,aftercreditsstinger,mighty mo,uss missouri",1768,5.5,Peter Berg,209318.0,12,119.0,60.0,4,10,0,0,0,1,0,0,1
62,[18],Rain Man,/A9XB6BmDlxqag4EFG4aM8R08B5t.jpg,380,3.787265,"individual,mentally disabled,autism,loss of father,yuppie,car dealer,egocentrism,travel,convertible,psychiatrist,duringcreditsstinger,savant",1296,7.5,Barry Levinson,399062.0,R,1.0,1.0,12,7,0,0,0,0,0,0,1
63,[35],Mean Girls,/lDlGPZS0UJYKxVlpyff3BMyPc2H.jpg,10625,3.786872,"female friendship,high school,fish out of water,best friend,teenager,popularity,gossip,locker,eating,teen comedy,new girl at school",1715,6.9,Mark Waters,260532.0,12,21.0,2.0,4,9,0,0,1,0,0,0,0
64,"[18, 10402, 10749]",Walk the Line,/nUsaYt9Wk4fVP8jp1ncfQe7Io7t.jpg,69,3.779788,"germany,prison,music record,adultery,country music,guitar,loss of brother,concert,marriage,single,accident,1960s",572,7.2,James Mangold,195153.0,12,6.0,3.0,9,9,1,0,0,0,0,0,1
65,"[10751, 35]",Paddington,/Sw7g22Wt4IILyD8LepkjNe5ql9.jpg,116149,3.776527,"england,train station,based on novel,bear,anthropomorphic animal,talking to animals,children's book",731,7.0,Paul King,54242.0,PG,14.0,24.0,11,10,0,1,1,0,0,0,0
66,"[27, 9648, 53]",The Boy,/yHhBfL2msdFWwLpjGSgPJpVmxQN.jpg,321258,3.768573,"suicide,england,fire,country house,shower,nanny,mask,boy,murder,mansion,stabbed in the stomach,stabbed in the chest,doll,burn victim,secret passageway,broken mirror,loss of a child",756,5.8,William Brent Bell,49635.0,15,9.0,1.0,1,10,0,0,0,0,0,0,1
67,"[28, 18, 53, 80]",Man on Fire,/qAbRLPe8T7ehKzr1Tgo78T7ASrS.jpg,9509,3.763839,"mexico,cia,diary,bible,bodyguard,kidnapping,stuffed animal,cell phone,alcoholic,grenade launcher,bloodshed,swim meet",1270,7.3,Tony Scott,278350.0,18,48.0,6.0,4,9,0,0,0,1,0,0,1
68,"[35, 28, 878]",The World's End,/9DBKqINsayQRZU0Ry0HFjeps5XJ.jpg,107985,3.760217,"end of the world,apocalypse,trilogy,homage",1449,6.7,Edgar Wright,197932.0,15,34.0,33.0,7,10,0,0,1,1,0,0,0
69,"[28, 12, 18, 53, 10752]",Rambo: First Blood Part II,/l6zUaYqaQ5TFokesv3BPzBvSN0.jpg,1369,3.759064,"usa,vietnam veteran,submachine gun,prisoner,prisoners of war,liberation of prisoners,liberation,vietnam,vietnam war,chase,machinegun,u.s. army,photography,government,war,revenge,forest,soldier,agent,denunciation",666,6.2,George P. Cosmatos,123194.0,15,25.0,5.0,5,7,0,0,0,1,1,0,1
70,"[27, 9648, 53]",The Ring,/zHJFdhqEXZJxG653oZvOM3PmNON.jpg,565,3.757008,"journalist,drowning,island,television,horse,videoband,investigation,telephone,remake,paranormal,curse,well,videotape",1185,6.5,Gore Verbinski,266110.0,15,28.0,35.0,10,9,0,0,0,0,0,0,1
71,"[18, 14]",The Shack,/doAzav9kfdtsoSdw1MDFvjKq3J4.jpg,345938,3.756404,"based on novel,loss of daughter,death of a child,guilt,death of daughter,family trip",41,6.9,Stuart Hazeldine,3408.0,12,5.0,3.0,3,10,0,0,0,0,0,1,1
72,"[28, 878, 53]",Equilibrium,/nOPW98NU67VN7g0ms5WD5nBVgEv.jpg,7299,3.755736,"resistance,fascism,totalitarian regime,destroy,phasing,dystopia,book burning,outlaw,government agent",1215,6.9,Kurt Wimmer,271135.0,15,60.0,22.0,12,9,0,0,0,1,0,0,1
73,[53],Stonehearst Asylum,/fZxGCCQ0NAtraevqULJ84wSSjo0.jpg,207933,3.74936,"mental institution,psychological thriller,doctor,mental patient,based on short story,mental asylum,doctor patient relationship,19th century",339,6.6,Brad Anderson,38562.0,15,16.0,2.0,9,10,0,0,0,0,0,0,1
74,"[28, 53, 878]",Cloverfield,/as01o40tJ2FhtheqeXf7bVZ0EQO.jpg,7191,3.731897,"helicopter,monster,skyscraper,hero,fight,camcorder,destroy,armor,bridge,panic,chaos,race against time,weapon,supernatural,friends,rescue,survival,disaster,escape,giant monster,cowardliness,soldier,danger,kaiju,found footage,aftercreditsstinger,escapade,deadly,chases and races,buddies,chaos and mayham,deadly creature",1803,6.4,Matt Reeves,311888.0,15,21.0,20.0,1,9,0,0,0,1,0,0,1
75,"[12, 28, 878]",Return of the Jedi,/jx5p0aHlbPXqe3AH9G15NvmWaqQ.jpg,1892,3.726654,"rebel,emperor,space battle,matter of life and death,siblings,spaceship,death star,jabba the hutt,ewoks,jedi,space opera",3769,7.8,Richard Marquand,734221.0,PG,30.0,22.0,5,7,0,0,0,1,0,0,0
76,"[28, 35, 80]",Spy,/xaOq0BnMHl445iZ4B7szBzaWgjS.jpg,238713,3.725898,"spy,cia,undercover,arms dealer,disaster,female spy,aftercreditsstinger,duringcreditsstinger",2134,6.9,Paul Feig,185845.0,15,49.0,23.0,5,10,0,0,1,1,0,0,1
77,"[18, 14, 53, 9648]",Sleepy Hollow,/yaX0WQstEi2akQXffoJUxyOsZkj.jpg,2668,3.718496,"cut-off head,horseman,head",1268,6.8,Tim Burton,278404.0,15,23.0,74.0,11,8,0,0,0,0,0,1,1
78,"[10752, 18, 28, 10749]",Top Gun,/orGXnBKfT41LxZhitLkXhqUfJJW.jpg,744,3.715476,"lovesickness,loss of lover,fighter pilot,self-discovery,pilot,ejection seat,dying and death,officer,training camp,air force,airplane,dangerous,battle assignment,u.s. navy,hostility,secret love,cowardliness,pilot school",1317,6.6,Tony Scott,229536.0,PG,7.0,8.0,5,7,1,0,0,1,1,0,1
79,"[18, 10749, 10752]",Casablanca,/wOBKAoUJZb5qTsWv5XXvVV2vUzz.jpg,289,3.714493,"love triangle,corruption,spy,resistance,casablanca,emigration,visa,patriotism,nationalism,concentration camp,nazis,title spoken by character",1141,7.8,Michael Curtiz,409942.0,PG,2.0,2.0,11,3,1,0,0,0,1,0,1
80,"[878, 53]",The Butterfly Effect,/dixYctWFLuuWCHrk25zt7QsFJqd.jpg,1954,3.714163,"amnesia,chaos theory,blackout,time travel,flashback",1484,7.2,Eric Bress,376077.0,15,13.0,2.0,1,9,0,0,0,1,0,0,1
81,"[14, 28, 80, 878, 53]",Daredevil,/dNVEqwgIdrwWQL3zXI5mQG60oM5.jpg,9480,3.714037,"blindness and impaired vision,narration,marvel comic,superhero,daredevil,hazardous waste,kissing in the rain,mob hit,duringcreditsstinger",1128,5.0,Mark Steven Johnson,181679.0,12,132.0,19.0,2,9,0,0,0,1,0,1,1
82,"[18, 10751, 14]",It's a Wonderful Life,/qZJ6d1SDsfoztmBfStwkBeTaOwG.jpg,1585,3.711874,"holiday,angel,based on novel,bank,suicide attempt,small town,christmas tree,great depression,christmas eve,feel-good ending,guardian angel,christmas",888,8.0,Frank Capra,296760.0,PG,1.0,3.0,12,3,0,1,0,0,0,1,1
83,"[28, 37]",Once Upon a Time in the West,/rVAHRtAMhV8QVXQMQ8NxNbZXCDp.jpg,335,3.709592,"showdown,bounty,bounty hunter,loss of brother,sadness,blackmail,harmonica,anti hero,auction,dying and death,peasant,insanity,spaghetti western",891,8.0,Sergio Leone,230115.0,PG,1.0,1.0,12,5,0,0,0,1,0,0,0
