genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,month,decade,group5,group4,group7,group6,group1,group3,group2
"[28, 35, 18, 10752]",Heartbreak Ridge,/hbKkfRpjtoCYabxEmhklM6MhF7g.jpg,10015.0,1.753467,"recruit,officer,battle assignment,marine,platoon,combat",203.0,6.5,Clint Eastwood,31867.0,R,3.0,2.0,12.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
"[10752, 28, 12, 18, 36, 10749]",Attila,/gbmtmnAQrC5B3ARmTWN54UCkpiK.jpg,18976.0,1.394994,"general,roman,army,battlefield,blood,king,battle,barbarian,violence,death,sword and sandal,hun,conqueror",52.0,6.4,Dick Lowry,8800.0,15,30.0,15.0,1.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 36]",The Railway Man,/3iU9KLIhvc3pdl1SkeD0gv4BO0f.jpg,127560.0,2.161909,"post traumatic stress  disorder,japanese,world war ii,victim,autobiography,based on true story,history,revenge,redemption,torture",234.0,6.7,Jonathan Teplitzky,30004.0,15,28.0,9.0,12.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 53, 10752]",Iron Eagle,/Wav0BfhK8dXQGhGbkhnL7MlLl3.jpg,11037.0,1.29399,"dictator,father son relationship,government,execution",53.0,4.8,Sidney J. Furie,11008.0,12,19.0,6.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 10752]",Redacted,/59SCyrGk5KtTtqZg16QmHx7BInt.jpg,11600.0,1.688185,"iraq,iraq war",29.0,6.0,Brian De Palma,9086.0,15,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 12, 18, 10752]",Young Winston,/fAcVoMa8uP1oNH5cOIzX8YnhsFX.jpg,66775.0,1.335306,"parliament,winston churchill,election,turn of the century",11.0,7.1,Richard Attenborough,1541.0,PG,5.0,3.0,7.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
[36],Mongol: The Rise of Genghis Khan,/8dlyyuwSJtS0VOLM9xi7SA7xbfU.jpg,12246.0,1.790399,"mongolia,genghis khan",131.0,6.5,Sergei Bodrov,38797.0,15,32.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"[18, 36, 53]",11.22.63,/5EJGeeuPy19EGDy8HErpbHba0yq.jpg,347938.0,1.854797,"horror,history,murder,mini-series,love sickness,time traveler,jfk assassination",129.0,8.0,James Strong,44436.0,15,28.0,7.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",The Fall of the Roman Empire,/ouqSwY8SP1yDyuujfDQUnm7Chpr.jpg,17277.0,1.626573,"roman empire,ancient rome",24.0,6.1,Anthony Mann,6505.0,PG,6.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 12, 18, 36, 10752]",The Charge of the Light Brigade,/cvQLdGm9oSEvdJuCSd0foKEPV4e.jpg,42193.0,1.220566,"hero,russian,british army,british empire,remake,honor,russian soldier,massacre,political,discipline,hussars,istanbul turkey,british soldier,british history,british colonial,anti war,equestrian,lancer,queen victoria",12.0,6.1,Tony Richardson,2380.0,12,3.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[28, 12, 36]",Ong Bak 3,/b311tP4SNMcK2UwvCIvu0VtMYRu.jpg,43209.0,2.083785,"martial arts,duringcreditsstinger,alternative history",75.0,5.2,Tony Jaa,10895.0,18,37.0,3.0,5.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[36, 18]",Europa Europa,/1BufsXykWHINVvwQVROVqOwFBQ7.jpg,8996.0,1.231623,"russia,german,nazis,hitler youth,jewish,woman director,jewish boy",41.0,7.1,Agnieszka Holland,12433.0,15,2.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[10752, 36, 28, 12, 18, 10749]",Alexander,/cJrnmbsFm5cEt0pHZZ2a1ueH5aT.jpg,1966.0,2.85196,"aristotle,gay kiss,egypt,greece,persia,elephant,campaign,alexander the great,homosexuality,gay romance,ancient world",686.0,5.6,Oliver Stone,143382.0,R,64.0,39.0,11.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 36]",The Railway Man,/3iU9KLIhvc3pdl1SkeD0gv4BO0f.jpg,127560.0,2.161909,"post traumatic stress  disorder,japanese,world war ii,victim,autobiography,based on true story,history,revenge,redemption,torture",234.0,6.7,Jonathan Teplitzky,30004.0,15,28.0,9.0,12.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 12, 18, 36, 10749, 10752]",Flyboys,/ap7UcuDPhyaY165YppEZJdbU1sA.jpg,9664.0,1.620543,"world war i,biplane",224.0,6.2,Tony Bill,36580.0,12,27.0,19.0,9.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 28, 35, 36, 53]",Red Cliff Part II,/bDQLqE9vR9MU24VNgxvt0ST02Vi.jpg,15384.0,1.583089,historian,83.0,7.1,John Woo,19901.0,15,90.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
"[10752, 28, 18, 10749]",Helen of Troy,/oQOwqVnxVfr4Z1r6m2T9vRbUTg2.jpg,245454.0,1.250899,"love,history",15.0,6.8,John Kent Harrison,5534.0,15,29.0,5.0,4.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"[28, 18, 36]",The Bounty,/dhN2OuGrEmiDSFNAwEAtJtTwsVU.jpg,2669.0,1.67081,"female nudity,exotic island,mutiny,lake,nudity,sailing,ship,adventure,tahiti,murder,pregnancy,great barrier reef,sailor,storm at sea,whipping,british sailor,based on true events,natives,fiji,topless",88.0,6.5,Roger Donaldson,18981.0,PG,1.0,5.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[10752, 18, 36]",Gettysburg,/xjpMfoPmo4bX8MEZPpWl8lBq6rx.jpg,10655.0,1.263057,"civil war,troops,independence day,army,battle,union soldier,confederate soldier,american civil war",74.0,6.6,Ron Maxwell,22562.0,PG,22.0,20.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36, 10749]",Maudie,/1Jgp09U2JXQ9CnCJxG1QQkRdjdI.jpg,359784.0,2.099892,"canada,romance,male female relationship,art,disability,woman director",3.0,0.0,Aisling Walsh,155.0,15,1.0,2.0,4.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",Jobs,/ioI5pOOr5yWZAAZPEts5oSQwUrT.jpg,115782.0,1.758508,"biography,computer,based on true story,apple computer,steve jobs,entrepreneur",1013.0,6.0,Joshua Michael Stern,81109.0,15,2.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",The Whore,/3GxoS44F8aeWbQVCsGHHhkxRV8E.jpg,46873.0,1.298284,"alexandra neldel,wanderhure",7.0,5.8,Hansjörg Thurn,623.0,12,3.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 36, 10752]",We Were Soldiers,/kjG02l5Nqcgd3ZOb7aMBb9CIIIi.jpg,10590.0,2.53235,"vietnam veteran,missile,vietnam war,army,major,based on true story,steel helmet,soldier,explosion,battle,bayonet,death,vietnamese",431.0,6.7,Randall Wallace,108496.0,15,66.0,30.0,3.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[18, 36, 10749]",The Edge of Love,/llmtWI97rUldX2Z47F03o1G9aqB.jpg,14061.0,1.268293,"biography,poet",72.0,6.1,John Maybury,13901.0,Unrated,1.0,5.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[35, 18, 36, 10749]",The Importance of Being Earnest,/hyyyidVBLFZCBPWfMTTiYm7SNGf.jpg,9026.0,1.342758,"new love,country estate,country house,false identity,beguilement,relatives,victorian england,pleasure",96.0,6.8,Oliver Parker,19561.0,U,5.0,3.0,5.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
"[18, 28, 12, 36, 10752]",Red Tails,/Atq5js5fbsu5EXubZRizWaSXoBJ.jpg,72431.0,1.342816,"world war ii,fighter pilot,fighter plane",160.0,5.9,Anthony Hemingway,29596.0,12,36.0,17.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[36, 18]",Europa Europa,/1BufsXykWHINVvwQVROVqOwFBQ7.jpg,8996.0,1.231623,"russia,german,nazis,hitler youth,jewish,woman director,jewish boy",41.0,7.1,Agnieszka Holland,12433.0,15,2.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",The Crucible,/gHoiYLoBaTod3DDNMT4M45Zv4XH.jpg,20539.0,1.591813,"witch,massachusetts,passion,satan,curse,salem",102.0,6.7,Nicholas Hytner,29898.0,12,7.0,4.0,11.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36, 10752]",All Quiet on the Western Front,/oFVbYL3EL1N2uJWjFihSJTiC6pP.jpg,10912.0,1.481804,"germany,france,world war i,westfront,soldier,classmate",22.0,6.3,Delbert Mann,6084.0,Unrated,2.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 28, 12, 36, 10752]",Red Tails,/Atq5js5fbsu5EXubZRizWaSXoBJ.jpg,72431.0,1.342816,"world war ii,fighter pilot,fighter plane",160.0,5.9,Anthony Hemingway,29596.0,12,36.0,17.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 36, 27]",The Countess,/eNrvOubh1Bvwzq1k5fKPYNIt6ts.jpg,8316.0,1.284366,"hungary,virgin,beauty,dracula,aging,biography,slovakia,baroness,countess,suspense,youth,witchcraft,historically inaccurate,revisionist history,vanity,noblewoman,bloodbath,woman director",33.0,5.4,Julie Delpy,6551.0,Unrated,3.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[9648, 18, 53, 10749, 10752]",Enigma,/xBRgHFHnCqhfpq4w63XqbjdMdB2.jpg,10491.0,1.445764,"lover (female),world war ii,radio transmission,leave,friendship,u boat,cryptography,secret formula",60.0,6.0,Michael Apted,18109.0,15,14.0,9.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[10752, 18, 36, 10749]",Bitter Harvest,/lcjmS7uleSh2X0V7v7j7pWss115.jpg,403390.0,1.935513,"ukraine,ukrainian village,holodomor",10.0,7.6,George Mendeluk,1079.0,15,16.0,11.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[36, 18]",Goodbye Bafana,/bGWqSXOgzuVdMdbPz59nrARPWJe.jpg,1874.0,1.278692,"jail guard,prison cell,south africa,apartheid,nelson mandela,escape,xenophobia",29.0,6.9,Bille August,10501.0,12,3.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",The Fall of the Roman Empire,/ouqSwY8SP1yDyuujfDQUnm7Chpr.jpg,17277.0,1.626573,"roman empire,ancient rome",24.0,6.1,Anthony Mann,6505.0,PG,6.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 28, 36, 10752]",Cross of Iron,/9KGjHLdyLSBHxRoAk0uUPtE7VtU.jpg,10839.0,1.891483,"world war ii,german,russian,troops,battle for power,hostility,commander,lieutenant,russian front,sergeant",70.0,6.5,Sam Peckinpah,21273.0,R,2.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 10752]",Stop-Loss,/k6JVbZ1RWswGHkt5sRcT9wUVUbj.jpg,8988.0,1.499944,"post traumatic stress  disorder,iraq war veteran,u.s. soldier,woman director",66.0,6.1,Kimberly Peirce,18155.0,15,43.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[36, 18]",Rasputin,/x7BIsMJZMLf6DsAYxbUeKdXM9H3.jpg,46827.0,1.334701,"russia,biography,good vs evil,rasputin",11.0,5.5,Uli Edel,2913.0,15,15.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36, 10752]",Casualties of War,/vwIkjKYMrlewvxjLICR4v4cfGPN.jpg,10142.0,1.628549,"rape,menace,vietnam war,vietcong,court,jungle,soldier",163.0,6.8,Brian De Palma,34574.0,R,9.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",Malcolm X,/jDQ2iBJuiimvYqk9orA2YaigBmW.jpg,1883.0,2.134129,"islam,new york,prison,assassination,ku klux klan,muslim,police brutality,beach,koran,jail guard,prison cell,bible,biography,martin luther king,nation of islam,civil rights movement ,mekka,pilgrimage,cabriolet,police,historical figure",288.0,7.1,Spike Lee,67347.0,15,37.0,10.0,11.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36, 10749]",Cleopatra,/fYrSQZZTymPMOnbfphCTm2V9vJu.jpg,8095.0,2.951845,"ancient rome,historical figure,cleopatra,julius caesar",103.0,6.6,Joseph L. Mankiewicz,22925.0,Unrated,11.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 12, 53, 10752]",Missing in Action,/53BrEmZaQEsNIiBNX8L8yJES1r.jpg,15379.0,1.472845,"prisoners of war,vietnam war,jungle",88.0,5.3,Joseph Zito,11068.0,R,10.0,2.0,11.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[35, 10402, 10752]",Rock the Kasbah,/7Ljch9R3uie8lV3z1GUUHZRkvKH.jpg,253414.0,2.111703,"jealousy,ex-boyfriend,afghanistan,record producer,last chance,singer,redemption",81.0,5.2,Barry Levinson,7397.0,15,17.0,2.0,10.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
"[28, 18, 10751, 36, 10752]",Memorial Day,/4eRiRft3FruMU07ZdxLNnvAk8Gc.jpg,105945.0,1.518813,"military weapons,warbird,insurgent,army national guard,shrapnel,war souvenir,1940s",14.0,5.6,Samuel Fischer,1870.0,15,6.0,4.0,6.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"[18, 36, 10749]",The Scarlet Letter,/g46rChf49Qgq28RJ22iWwvsK7nO.jpg,10533.0,1.856422,"based on novel,burning of witches,puritan,period piece,pregnancy,extramarital affair",84.0,5.4,Roland Joffé,12440.0,15,33.0,11.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 10752]",The Children of Huang Shi,/uN37F4H1HiP5rbKZCPFQQ34dqtY.jpg,13405.0,1.811224,"based on true story,duringcreditsstinger",38.0,6.6,Roger Spottiswoode,8347.0,15,7.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 18, 36]",55 Days at Peking,/uladhrFO7CukQ1XaXwi2DVbV4Pl.jpg,27759.0,1.337277,"siege,epic,beijing",30.0,6.4,Nicholas Ray,4776.0,PG,2.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 10752, 37]",Friendly Persuasion,/jEoCQVj4WcxyiZa7XKJ2AkT9K1y.jpg,43258.0,1.905396,"indiana,slavery,faith,religion,quaker",20.0,6.1,William Wyler,5117.0,PG,5.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[36, 18]",Milk,/sFYmJJSVXqfqPI79tx4UG4IR5Jb.jpg,10139.0,2.080062,"gay,san francisco,homophobia,mayor,biography,politics,politician,election campaign,homosexuality,morality,election,mayoral campaign",487.0,7.1,Gus Van Sant,142349.0,15,14.0,9.0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 18, 10769, 10749, 10752]",Lakshya,/i70WsrrHaNXU9wii0OdgHxYmbrh.jpg,21175.0,1.245595,"terrorist,army,spoiled child,rescue team,discipline,awol,military academy,spoiled son,chance meeting,crawling on hands and knees,pakistan vs india,crawling through mud,following dream,domineering father",22.0,6.7,Farhan Akhtar,13865.0,PG,3.0,2.0,6.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 10752]",The Big Red One,/gjBEpIv2mC8HEP7tC7hcNuJSbBU.jpg,16121.0,1.449957,"africa,sicily,concentration camp,omaha beach,d-day,sergeant",60.0,6.9,Samuel Fuller,15980.0,PG,2.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[10752, 18, 36]",Army of Crime,/eIie46wCmqSbNUTRoKpfHCHDtxl.jpg,30432.0,1.396051,"paris,resistance,world war ii,ss,armenian genocide,ss commander",28.0,6.6,Robert Guédiguian,2649.0,15,8.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[12, 18, 36]",Passage to Marseille,/aXSyIXD34vnrA8IxpuKjUGVjnTX.jpg,18229.0,1.208626,"england,escape,devil's island",10.0,6.5,Michael Curtiz,2961.0,PG,2.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[18, 10749, 10752, 37]",Legends of the Fall,/uh0sJcx3SLtclJSuKAXl6Tt6AV0.jpg,4476.0,1.968942,"brother brother relationship,montana,based on novel,world war i,journey round the world",499.0,7.1,Edward Zwick,118030.0,15,20.0,5.0,12.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36, 10749]",The Virgin Queen,/piWZugnahuGDGu8oTit90CqNubf.jpg,64230.0,1.271257,"biography,queen elizabeth i,tudors,mini-series,queen of england,woman director",8.0,6.4,Coky Giedroyc,2101.0,12,4.0,1.0,11.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 18, 10749, 10752]",Wings,/yyJRdHy8TKLecnXuNBWhJxzSIkY.jpg,28966.0,1.393976,"paris,world war i,friendship,battlefield,aerial combat,warfare,silent film,u.s. military,fighter pilots",48.0,7.0,William A. Wellman,8439.0,PG,14.0,2.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"[10752, 18, 36]",Army of Crime,/eIie46wCmqSbNUTRoKpfHCHDtxl.jpg,30432.0,1.396051,"paris,resistance,world war ii,ss,armenian genocide,ss commander",28.0,6.6,Robert Guédiguian,2649.0,15,8.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[10749, 10752, 35, 18]",Their Finest,/tF0dhJfxzOjvkybJVfNPuuj5ClH.jpg,340101.0,1.83847,"based on novel,world war ii,britain,war propaganda,woman director",4.0,0.0,Lone Scherfig,655.0,12,4.0,6.0,3.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
"[10749, 18, 36, 10752, 10402]",Joyeux Noël,/22SsQo26g7cEvhoViJjrmJbtUDq.jpg,11661.0,1.767174,"holiday,world war i,hostility,singer,singing,christmas",165.0,7.2,Christian Carion,22825.0,R,7.0,5.0,11.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 36]",The Throne,/50thXO6Pfn43iCU9RDwN6fIidHI.jpg,315439.0,1.270177,korean movie,16.0,6.8,Joon-ik Lee,885.0,PG,1.0,1.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[36, 18]",The Iron Lady,/e67tal4u66eFz8yGnJGTO5FYRxY.jpg,71688.0,1.81621,"capitalism,prime minister,argentina,margaret thatcher,british overseas territory,war propaganda,british politics,british prime minister,female politician,falklands war,political leader,female prime minister,right wing,falklands,woman director,1980s",434.0,6.2,Phyllida Lloyd,86606.0,12,4.0,6.0,12.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[28, 53, 10752]",Act of Valor,/hauipCFK2iybZqL1JqhdyakrZWO.jpg,75674.0,1.517025,"submarine,navy,scuba diving,heroism,navy seal,pistol,secret plot,military life,valor,terrorist plot,navy life,national security,pregnant wife,silver star,counter plot,duringcreditsstinger",371.0,6.3,Mike McCoy,59694.0,15,26.0,18.0,2.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"[36, 18]",Bobby,/a38CTs2mJ2uDHHH6mUJmuGH8RVI.jpg,10741.0,1.463723,"hotel,senator,kitchen,marriage crisis,politics,xenophobia",101.0,6.3,Emilio Estevez,38749.0,15,6.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"[18, 35, 36, 10751]",Toast,/eagR6QF9YQPf0SbKGC996Sq8ssS.jpg,52850.0,1.260093,"male nudity,adolescence,nostalgia,autobiography,gay interest,cookies,woman director",55.0,6.2,S.J. Clarkson,7410.0,U,2.0,2.0,12.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"[53, 18, 28, 80, 10752]",Miracle at St. Anna,/lQ57c15G9TsSL6t5SUtb97zUW4s.jpg,12412.0,1.255287,"black people,world war ii,toscana,village,soldier,partisan",73.0,6.3,Spike Lee,16012.0,15,24.0,12.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
